order_rub,segment,cost_rt_med,cost_rt_p90,cost_stress_med,pct_of_adv
10 000,blue_chip,0.129,0.138,0.202,0.001
10 000,mid_cap,0.128,0.157,0.214,0.007
50 000,blue_chip,0.129,0.138,0.202,0.003
50 000,mid_cap,0.129,0.158,0.214,0.035
100 000,blue_chip,0.129,0.139,0.203,0.006
100 000,mid_cap,0.131,0.158,0.215,0.071
500 000,blue_chip,0.129,0.139,0.205,0.031
500 000,mid_cap,0.141,0.21,0.227,0.353
1 000 000,blue_chip,0.132,0.14,0.208,0.062
1 000 000,mid_cap,0.152,0.297,0.245,0.705
5 000 000,blue_chip,0.142,0.162,0.228,0.309
5 000 000,mid_cap,0.196,0.899,0.326,3.527
