ticker,cs_med,cs_p95,cs_days,roll_med,flat_bar_share,illiq,adv_rub,last_close,lot,tick,short_enabled,dshort_client,tick_floor_pct,spread_pct,spread_p95_pct,impact_pct,cost_rt_base,cost_rt_stress,segment,order_rub,fee_side_pct
AKRN,0.0,0.0012551286719052327,121,0.163900865987493,0.5281466242752946,2.2320355898967737e-09,3416832.0,17968.0,1,2.0,False,,0.011130899376669634,0.011130899376669634,0.011130899376669634,0.0022320355898967736,0.09559497055646318,0.09559497055646318,mid_cap,10000,0.04
BSPB,0.022023606641215884,0.11682055600238656,278,0.06868441964811753,0.0823209996867277,8.939352405400545e-11,141759812.8,254.0,10,0.01,True,0.2222,0.003937007874015748,0.022023606641215884,0.11682055600238656,8.939352405400545e-05,0.1022023936893239,0.19699934305049457,mid_cap,10000,0.04
SBER,0.023895348358534366,0.08662335498917204,281,0.03810112071363189,0.009433962264150943,1.1339977310862632e-12,6580646749.05,280.08,1,0.01,True,0.1428,0.003570408454727221,0.023895348358534366,0.08662335498917204,1.1339977310862633e-06,0.10389761635399654,0.1666256229846342,blue_chip,10000,0.04
MOEX,0.032855727139146196,0.1029916774676143,281,0.059613296874978725,0.03091030343447816,1.727875592576925e-11,678915648.0,154.21,10,0.01,True,0.1428,0.006484663770183516,0.032855727139146196,0.1029916774676143,1.727875592576925e-05,0.11289028465099774,0.18302623497946585,blue_chip,10000,0.04
MSNG,0.034668676887849414,0.09952374925685145,262,0.10916189358011066,0.1417281741593976,2.629810031929584e-10,54213090.75,1.494,1000,0.0005,True,0.25,0.03346720214190094,0.034668676887849414,0.09952374925685145,0.0002629810031929584,0.11519463889423533,0.18004971126323735,mid_cap,10000,0.04
PIKK,0.037694899044340695,0.11139691010451423,277,0.08513078543752024,0.08563325724562496,4.1917371773293625e-11,120225438.65,539.8,1,0.1,True,0.1385,0.018525379770285292,0.037694899044340695,0.11139691010451423,4.191737177329362e-05,0.11777873378788728,0.19148074484806082,mid_cap,10000,0.04
SNGS,0.03945437640812893,0.12201375174483672,281,0.07728452361423936,0.08630554699009833,3.229771494810637e-11,455830617.0,15.875,100,0.005,True,0.1428,0.031496062992125984,0.03945437640812893,0.12201375174483672,3.229771494810637e-05,0.11951897183802515,0.20207834717473291,blue_chip,10000,0.04
CBOM,0.03975203911167161,0.15936887802726515,258,0.13240119719492094,0.12520388349514563,1.8179176128392727e-10,82599404.5,9.844,100,0.001,False,,0.010158472165786267,0.03975203911167161,0.15936887802726515,0.00018179176128392725,0.12011562263423947,0.239732461549833,mid_cap,10000,0.04
PHOR,0.042077363378587154,0.1086601867654387,281,0.0830036040410384,0.07296196117369123,3.496583142455563e-11,442913001.0,5567.0,1,1.0,True,0.1428,0.017962996227770794,0.042077363378587154,0.1086601867654387,3.4965831424555635e-05,0.12214729504143627,0.18873011842828782,mid_cap,10000,0.04
LKOH,0.04258254734919646,0.12212366630978662,281,0.06411161883487843,0.013277266406198265,4.6480081088277695e-12,3365521226.25,5134.0,1,0.5,True,0.1666,0.009738994935722634,0.04258254734919646,0.12212366630978662,4.648008108827769e-06,0.12259184336541412,0.20213296232600428,blue_chip,10000,0.04
X5,0.04297219534173536,0.09579973070884817,280,0.0531727875046642,0.01072056822330645,1.0048639427628264e-11,1072495130.0,1814.0,1,0.5,True,0.1818,0.027563395810363836,0.04297219534173536,0.09579973070884817,1.0048639427628264e-05,0.12299229262059062,0.17581982798770346,mid_cap,10000,0.04
FIXR,0.04268568855758739,0.10154117440132698,268,0.09554993758451386,0.08105577760973677,2.1671863078836237e-10,57325915.599999994,0.4078,1000,0.0001,True,0.2105,0.024521824423737126,0.04268568855758739,0.10154117440132698,0.00021671863078836237,0.12311912581916412,0.1819746116629037,mid_cap,10000,0.04
LENT,0.04385063231757597,0.08819524903249437,279,0.10675002628094868,0.11115003327845308,1.4033211581111504e-10,94319782.75,1774.5,1,0.5,True,0.5,0.02817695125387433,0.04385063231757597,0.08819524903249437,0.00014033211581111505,0.12413129654919822,0.16847591326411662,mid_cap,10000,0.04
TGKA,0.0,0.0,259,0.5066893551494799,0.9018626633305532,8.738235189670063e-10,14050650.0,0.0047,100000,2e-06,True,0.25,0.042553191489361694,0.042553191489361694,0.042553191489361694,0.0008738235189670063,0.1243008385272957,0.1243008385272957,mid_cap,10000,0.04
MTSS,0.04433464871193988,0.09675861393406643,281,0.06679840013181129,0.04061863246150249,1.776552497384541e-11,524303236.0,188.2,10,0.05,True,0.1666,0.02656748140276302,0.04433464871193988,0.09675861393406643,1.776552497384541e-05,0.12437017976188758,0.17679414498401413,blue_chip,10000,0.04
IRAO,0.04447249445422707,0.1188297178462146,281,0.06809846826978297,0.025848034818432505,3.986800474976449e-11,306041922.8,2.4,100,0.0005,True,0.1666,0.020833333333333336,0.04447249445422707,0.1188297178462146,3.986800474976449e-05,0.12455223046372658,0.19890945385571415,blue_chip,10000,0.04
VTBR,0.04594514591673515,0.11901404148505486,281,0.0687729996856772,0.012166821376475269,3.623616848610951e-12,3278184730.5625,52.675,1,0.005,True,0.2222,0.0094921689606075,0.04594514591673515,0.11901404148505486,3.623616848610951e-06,0.12595239315043238,0.19902128871875208,blue_chip,10000,0.04
OGKB,0.039188122330717695,0.14597743992108328,268,0.1375835081808333,0.1604775022956841,8.244621205791139e-10,22563981.35,0.2216,1000,0.0001,True,0.25,0.04512635379061372,0.04512635379061372,0.14597743992108328,0.0008244621205791138,0.12677527803177194,0.2276263641622415,mid_cap,10000,0.04
FLOT,0.04688782088850881,0.12140338899747605,279,0.08622467730512659,0.08075421720340165,6.44523301478153e-11,203097058.95,81.03,10,0.01,True,0.1428,0.012341108231519191,0.04688782088850881,0.12140338899747605,6.44523301478153e-05,0.12701672554880444,0.2015322936577717,mid_cap,10000,0.04
HYDR,0.047054184168388316,0.11896099677621083,280,0.10689573456180063,0.09991217284384332,2.1569183707494135e-10,66785093.2,0.3673,1000,0.0001,True,0.1428,0.027225701061802342,0.047054184168388316,0.11896099677621083,0.00021569183707494138,0.1274855678425382,0.1993923804503607,mid_cap,10000,0.04
RTKM,0.04735079084303316,0.11901638253505888,280,0.08217375771010169,0.07066643940685188,6.848787364939867e-11,180197862.5,41.96,10,0.01,True,0.1428,0.023832221163012392,0.04735079084303316,0.11901638253505888,6.848787364939867e-05,0.12748776659033195,0.19915335828235767,mid_cap,10000,0.04
ENPG,0.0475837341689902,0.16894054444891138,280,0.10273852999611703,0.09351285189718482,1.3230592436834144e-10,148963080.125,311.75,1,0.05,True,0.1428,0.01603849238171612,0.0475837341689902,0.16894054444891138,0.00013230592436834143,0.1278483460177269,0.24920515629764808,mid_cap,10000,0.04
ASTR,0.048289737568716434,0.19335129194644077,280,0.09231007483324116,0.060217873713939885,5.256616467560217e-11,244052265.25,216.7,1,0.05,True,0.1859,0.023073373327180437,0.048289737568716434,0.19335129194644077,5.256616467560217e-05,0.12839486989806762,0.273456424275792,mid_cap,10000,0.04
UPRO,0.03930551420613061,0.13954932869165979,274,0.11505630309356589,0.14242119623752422,1.253969999065848e-10,129745306.5,1.038,1000,0.0005,True,0.1428,0.04816955684007707,0.04816955684007707,0.13954932869165979,0.00012539699990658478,0.12842035083989026,0.21980012269147295,mid_cap,10000,0.04
MGNT,0.048624272134357806,0.14396573371198906,280,0.07883475188334313,0.05919934751580235,2.8072773901829215e-11,672923665.5,1689.0,1,0.5,True,0.1428,0.029603315571343988,0.048624272134357806,0.14396573371198906,2.8072773901829216e-05,0.12868041768216149,0.22402187925979275,mid_cap,10000,0.04
GAZP,0.04907560479128221,0.11893221302900588,281,0.0667370093100681,0.0065876588983050845,3.24283019584443e-12,4408074187.1,91.13,10,0.01,True,0.1818,0.01097333479644464,0.04907560479128221,0.11893221302900588,3.24283019584443e-06,0.1290820904516739,0.19893869868939756,blue_chip,10000,0.04
YDEX,0.049220882301896536,0.1200015436645356,280,0.07311256974487172,0.009029645121667828,6.497562317659355e-12,2079058673.75,3861.5,1,0.5,True,0.2,0.012948336138806162,0.049220882301896536,0.1200015436645356,6.497562317659356e-06,0.12923387742653186,0.20001453878917091,mid_cap,10000,0.04
SELG,0.04947137844439009,0.169063542518194,280,0.1172678051168797,0.09318449698398391,1.3286111072273487e-10,103028366.2,34.7,10,0.01,True,0.2,0.028818443804034578,0.04947137844439009,0.169063542518194,0.00013286111072273487,0.12973710066583558,0.24932926473963948,mid_cap,10000,0.04
CHMF,0.05123730346772121,0.13090283590092955,281,0.07898070198654147,0.04180322386462444,2.724417263674535e-11,787616644.1,672.0,1,0.2,True,0.1428,0.029761904761904764,0.05123730346772121,0.13090283590092955,2.7244172636745352e-05,0.13129179181299472,0.21095732424620306,blue_chip,10000,0.04
AFLT,0.05131467468987113,0.12149435959953711,281,0.07175704220639158,0.021965241085966838,2.4058472616408313e-11,706238857.95,33.64,10,0.01,True,0.18,0.02972651605231867,0.05131467468987113,0.12149435959953711,2.4058472616408316e-05,0.13136279163510395,0.20154247654476992,mid_cap,10000,0.04
GMKN,0.05138173113981453,0.1419132065859433,281,0.07672007595993033,0.023932192122320093,8.561831288089625e-12,2202732048.2,131.92,10,0.02,True,0.1428,0.015160703456640391,0.05138173113981453,0.1419132065859433,8.561831288089625e-06,0.1313988548023907,0.2219303302485195,blue_chip,10000,0.04
POSI,0.05245146095928262,0.16059015129977616,280,0.09798358829215201,0.07294916183881252,5.245560420203219e-11,354736944.70000005,1014.8,1,0.2,True,0.25,0.01970831690973591,0.05245146095928262,0.16059015129977616,5.2455604202032195e-05,0.13255637216768668,0.24069506250818024,mid_cap,10000,0.04
SNGSP,0.05297909140245373,0.13426164642706775,281,0.07844552853532552,0.02394712368805633,1.3214986672047818e-11,890480645.7,41.99,10,0.005,True,0.1428,0.011907597046915932,0.05297909140245373,0.13426164642706775,1.3214986672047817e-05,0.13300552137579782,0.21428807640041184,mid_cap,10000,0.04
ROSN,0.05313691927373627,0.13757186352028922,281,0.07489159775843114,0.014366579496176635,5.979515612450137e-12,2238737141.625,334.2,1,0.05,True,0.1666,0.014961101137043688,0.05313691927373627,0.13757186352028922,5.9795156124501374e-06,0.13314887830496117,0.21758382255151412,blue_chip,10000,0.04
TATN,0.05437592702681685,0.1458112120870708,279,0.07939789527454227,0.021148641876315526,1.591724616896024e-11,1266480384.75,592.0,1,0.1,True,0.1428,0.016891891891891893,0.05437592702681685,0.1458112120870708,1.591724616896024e-05,0.1344077615191548,0.2258430465794087,blue_chip,10000,0.04
NVTK,0.05674899259172464,0.13830830163791696,281,0.0779760124469252,0.018259544008483564,9.319422787715678e-12,2137384056.6,1024.8,1,0.1,True,0.1886,0.009758001561280252,0.05674899259172464,0.13830830163791696,9.319422787715677e-06,0.13676763143730006,0.2183269404834924,blue_chip,10000,0.04
VKCO,0.05758712162536176,0.20288601189335412,280,0.09976187139669646,0.03883819646378556,3.115499780865861e-11,855525559.05,120.75,1,0.05,True,0.1728,0.041407867494824016,0.05758712162536176,0.20288601189335412,3.1154997808658615e-05,0.1376494316209791,0.2829483218889714,mid_cap,10000,0.04
RUAL,0.058825056382109546,0.16586231069509044,280,0.0840390419516136,0.045008733037753594,2.258542041704306e-11,1007513983.35,27.02,10,0.005,True,0.1428,0.018504811250925242,0.058825056382109546,0.16586231069509044,2.2585420417043062e-05,0.13887022722294362,0.24590748153592454,mid_cap,10000,0.04
ALRS,0.059428050558337574,0.17457399656928824,281,0.08519752191732294,0.03783296012833796,2.5895185700081838e-11,835870097.9000001,20.96,10,0.01,True,0.1428,0.047709923664122134,0.059428050558337574,0.17457399656928824,2.589518570008184e-05,0.13947984092973773,0.25462578694068844,mid_cap,10000,0.04
PLZL,0.05950227587435942,0.16438028158533236,281,0.08208423697712827,0.018830393846969898,9.30435931748108e-12,1617482268.9,991.6,1,0.2,True,0.1818,0.02016942315449778,0.05950227587435942,0.16438028158533236,9.304359317481079e-06,0.1395208845929944,0.24439889030396733,blue_chip,10000,0.04
MAGN,0.06361793784879638,0.16442366918644613,281,0.08817468927265909,0.027572427572427574,2.274290662344106e-11,974523521.7750001,23.675,10,0.005,True,0.1428,0.021119324181626188,0.06361793784879638,0.16442366918644613,2.274290662344106e-05,0.14366342366204327,0.24446915499969302,blue_chip,10000,0.04
NMTP,0.056038105912034196,0.11280858334301337,279,0.1062521890547101,0.16781994827706717,1.4275442837124307e-10,54292182.0,6.94,100,0.005,True,0.22,0.07204610951008646,0.07204610951008646,0.11280858334301337,0.00014275442837124308,0.15233161836682893,0.19309409219975585,mid_cap,10000,0.04
FEES,0.07640207170258988,0.1379705461125925,273,0.1365931088636922,0.263669026359788,1.4646729238501672e-10,133615784.0,0.0519,10000,2e-05,True,0.1666,0.03853564547206166,0.07640207170258988,0.1379705461125925,0.00014646729238501673,0.1566950062873599,0.2182634806973625,mid_cap,10000,0.04
SMLT,0.0775561161376144,0.2774075868946295,280,0.12089240522039019,0.03025260425333644,1.3152933900981014e-11,1898121723.4,370.4,1,0.2,True,0.3333,0.05399568034557236,0.0775561161376144,0.2774075868946295,1.3152933900981015e-05,0.15758242200541636,0.3574338927624315,mid_cap,10000,0.04
ETLN,0.0753987684699445,0.18054266026738974,280,0.14833816512232856,0.12025010363410253,7.242703270928369e-10,22458934.580000002,21.12,1,0.02,True,0.9999,0.0946969696969697,0.0946969696969697,0.18054266026738974,0.0007242703270928369,0.17614551035115536,0.2619912009215754,mid_cap,10000,0.04
MVID,0.0880983493255251,0.19267506426252617,280,0.18181074797046767,0.11746585891775337,6.56130185548399e-10,22291205.625,45.25,1,0.05,False,,0.11049723756906078,0.11049723756906078,0.19267506426252617,0.000656130185548399,0.1918094979401576,0.27398732463362296,mid_cap,10000,0.04
