series,period,days,first_med,first_p10,last_med,pre_auction,share_night,share_m0700,share_m0900,share_auction,share_main,share_evening,share_pre,weekend_days
BR,2022-01,21,07:00,07:00,23:45,1.0000,0.0000,0.0263,0.0160,0.0035,0.6910,0.2403,0.0430,0.0000
BR,2022-02,19,07:00,07:00,23:45,0.9474,0.0000,0.0254,0.0141,0.0027,0.6901,0.2421,0.0420,0.0000
BR,2022-03,20,10:00,10:00,18:40,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000
BR,2022-04,21,10:00,10:00,18:40,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000
BR,2022-05,18,10:00,10:00,18:40,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000
BR,2022-06,21,10:00,10:00,18:45,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000
BR,2022-07,21,10:00,10:00,23:45,0.0000,0.0000,0.0000,0.0000,0.0000,0.8923,0.1077,0.0000,0.0000
BR,2022-08,23,10:00,10:00,23:45,0.0000,0.0000,0.0000,0.0000,0.0000,0.8532,0.1468,0.0000,0.0000
BR,2022-09,22,09:00,09:00,23:45,0.6818,0.0000,0.0000,0.0228,0.0050,0.8186,0.1571,0.0228,0.0000
BR,2022-10,21,09:00,09:00,23:45,1.0000,0.0000,0.0000,0.0443,0.0060,0.7925,0.1611,0.0443,0.0000
BR,2022-11,21,09:00,09:00,23:45,1.0000,0.0000,0.0000,0.0419,0.0056,0.7077,0.2287,0.0419,0.0000
BR,2022-12,22,09:00,09:00,23:45,1.0000,0.0000,0.0000,0.0349,0.0055,0.7011,0.2585,0.0349,0.0000
BR,2023-01,21,09:00,09:00,23:45,1.0000,0.0000,0.0000,0.0389,0.0041,0.6931,0.2685,0.0389,0.0000
BR,2023-02,19,09:00,09:00,23:45,1.0000,0.0000,0.0000,0.0422,0.0048,0.6950,0.2419,0.0422,0.0000
BR,2023-03,22,09:00,09:00,23:45,1.0000,0.0000,0.0000,0.0385,0.0052,0.6998,0.2537,0.0385,0.0000
BR,2023-04,20,09:00,09:00,23:45,1.0000,0.0000,0.0000,0.0463,0.0057,0.7924,0.1434,0.0463,0.0000
BR,2023-05,21,09:00,09:00,23:45,1.0000,0.0000,0.0000,0.0512,0.0065,0.7691,0.1642,0.0512,0.0000
BR,2023-06,21,09:00,09:00,23:45,1.0000,0.0000,0.0000,0.0547,0.0048,0.7658,0.1682,0.0547,0.0000
BR,2023-07,21,08:55,08:55,23:45,1.0000,0.0000,0.0002,0.0411,0.0051,0.7630,0.2004,0.0421,0.0000
BR,2023-08,23,08:55,08:55,23:45,1.0000,0.0000,0.0005,0.0355,0.0055,0.7715,0.1792,0.0371,0.0000
BR,2023-09,21,09:00,08:55,23:45,1.0000,0.0000,0.0000,0.0471,0.0062,0.7623,0.1708,0.0471,0.0000
BR,2023-10,22,09:00,09:00,23:45,1.0000,0.0000,0.0000,0.0466,0.0058,0.7415,0.2176,0.0474,0.0000
BR,2023-11,22,08:55,08:55,23:45,1.0000,0.0000,0.0008,0.0339,0.0035,0.6828,0.2784,0.0348,0.0000
BR,2023-12,21,08:55,08:55,23:45,1.0000,0.0000,0.0004,0.0278,0.0044,0.6911,0.2731,0.0280,0.0000
BR,2024-01,21,08:55,08:55,23:45,1.0000,0.0000,0.0007,0.0339,0.0044,0.6866,0.2687,0.0339,0.0000
BR,2024-02,20,08:55,08:55,23:45,1.0000,0.0000,0.0004,0.0297,0.0029,0.6829,0.2792,0.0302,0.0000
BR,2024-03,20,08:55,08:55,23:45,1.0000,0.0000,0.0007,0.0342,0.0045,0.7618,0.1994,0.0349,0.0000
BR,2024-04,22,08:55,08:55,23:45,1.0000,0.0000,0.0007,0.0421,0.0061,0.7405,0.2012,0.0449,1.0000
BR,2024-05,21,08:55,08:55,23:45,1.0000,0.0000,0.0008,0.0421,0.0061,0.7524,0.1899,0.0435,0.0000
BR,2024-06,19,09:55,08:55,23:45,0.3684,0.0000,0.0000,0.0000,0.0016,0.7857,0.1852,0.0000,0.0000
BR,2024-07,23,09:55,09:55,23:45,0.0000,0.0000,0.0000,0.0000,0.0013,0.7891,0.2013,0.0000,0.0000
BR,2024-08,22,09:55,09:55,23:45,0.0000,0.0000,0.0000,0.0000,0.0005,0.8013,0.1983,0.0000,0.0000
BR,2024-09,21,09:55,09:55,23:45,0.0000,0.0000,0.0000,0.0000,0.0008,0.8069,0.1876,0.0000,0.0000
BR,2024-10,23,09:55,09:55,23:45,0.0000,0.0000,0.0000,0.0000,0.0007,0.7901,0.2097,0.0000,0.0000
BR,2024-11,20,09:55,09:55,23:45,0.0000,0.0000,0.0000,0.0000,0.0003,0.7544,0.2447,0.0000,1.0000
BR,2024-12,21,09:55,09:55,23:45,0.0000,0.0000,0.0000,0.0000,0.0004,0.7236,0.2742,0.0000,1.0000
BR,2025-01,20,09:55,08:55,23:45,0.2500,0.0000,0.0000,0.0000,0.0012,0.7337,0.2497,0.0000,0.0000
BR,2025-02,20,08:55,08:55,23:45,1.0000,0.0000,0.0011,0.0305,0.0035,0.7327,0.2260,0.0316,0.0000
