root,d,old,new,days_to_exp_old,backward,basis_pct
BR,2022-02-01,BRG2,BRH2,0,False,-1.9393
BR,2022-03-02,BRH2,BRJ2,-1,False,-3.8980
BR,2022-04-04,BRJ2,BRK2,-3,False,-3.4643
BR,2022-05-05,BRK2,BRM2,-1,False,-1.8290
BR,2022-06-02,BRM2,BRN2,-1,False,-4.3145
BR,2022-07-04,BRN2,BRQ2,-3,False,-2.5000
BR,2022-08-02,BRQ2,BRU2,-1,False,-7.9793
BR,2022-09-01,BRU2,BRV2,0,False,0.9551
BR,2022-10-04,BRV2,BRX2,-1,False,2.8097
BR,2022-11-01,BRX2,BRZ2,0,False,-1.5622
BR,2022-12-02,BRZ2,BRF3,-1,False,4.0272
BR,2023-01-03,BRF3,BRG3,-4,False,7.9689
BR,2023-02-02,BRG3,BRH3,-1,False,2.3432
BR,2023-03-02,BRH3,BRJ3,-1,False,2.3242
BR,2023-04-04,BRJ3,BRK3,-1,False,8.2633
BR,2023-05-03,BRK3,BRM3,-1,False,-1.7727
BR,2023-06-01,BRM3,BRN3,0,False,2.2865
BR,2023-07-04,BRN3,BRQ3,-1,False,0.7742
BR,2023-08-02,BRQ3,BRU3,-1,False,0.4208
BR,2023-09-01,BRU3,BRV3,0,False,0.3110
BR,2023-10-03,BRV3,BRX3,-1,False,-4.4925
BR,2023-11-01,BRX3,BRZ3,0,False,-1.2139
BR,2023-12-01,BRZ3,BRF4,0,False,-0.5803
BR,2024-01-03,BRF4,BRG4,-5,False,-0.7652
BR,2024-02-01,BRG4,BRH4,0,False,-0.1470
BR,2024-03-01,BRH4,BRJ4,0,False,-1.3152
BR,2024-04-02,BRJ4,BRK4,-1,False,0.7092
BR,2024-05-02,BRK4,BRM4,0,False,-1.7644
BR,2024-06-04,BRM4,BRN4,-1,False,-3.8117
BR,2024-07-02,BRN4,BRQ4,-1,False,0.6828
BR,2024-08-01,BRQ4,BRU4,0,False,1.7722
BR,2024-09-03,BRU4,BRV4,-1,False,-1.5869
BR,2024-10-01,BRV4,BRX4,0,False,0.8505
BR,2024-11-01,BRX4,BRZ4,0,False,1.5454
BR,2024-12-03,BRZ4,BRF5,-1,False,-1.1242
BR,2025-01-06,BRF5,BRG5,-3,False,2.9309
BR,2025-02-03,BRG5,BRH5,0,False,-1.4453
BR,2025-03-04,BRH5,BRJ5,-1,False,-2.5007
BR,2025-04-01,BRJ5,BRK5,0,False,-0.1872
BR,2025-05-02,BRK5,BRM5,0,False,-2.8214
BR,2025-06-03,BRM5,BRN5,-1,False,1.8463
BR,2025-07-01,BRN5,BRQ5,0,False,-1.2426
BR,2025-08-01,BRQ5,BRU5,0,False,-1.3644
BR,2025-09-01,BRU5,BRV5,0,False,-1.0710
BR,2025-10-01,BRV5,BRX5,0,False,-1.4017
BR,2025-11-05,BRX5,BRZ5,-2,False,-0.3382
BR,2025-12-01,BRZ5,BRF6,0,False,0.0158
BR,2026-01-06,BRF6,BRG6,-1,False,-0.3711
BR,2026-02-01,BRG6,BRH6,1,False,-1.1730
BR,2026-03-03,BRH6,BRJ6,-1,False,10.3638
BR,2026-03-30,BRJ6,BRK6,3,False,-5.3119
BR,2026-03-31,BRK6,BRJ6,35,True,4.9313
BR,2026-04-01,BRJ6,BRK6,1,False,-12.4568
BR,2026-05-02,BRK6,BRM6,3,False,-4.4100
BR,2026-05-30,BRM6,BRN6,3,False,0.2937
BR,2026-07-01,BRN6,BRQ6,1,False,1.1936
BR,2026-08-04,BRQ6,BRU6,0,False,-6.6807
BR,2026-08-31,BRU6,BRV6,1,False,-1.1870
CR,2022-06-15,CRM2,CRU2,1,False,6.6356
CR,2022-09-08,CRU2,CRZ2,7,False,2.6226
