eff_date,before_date,ann_date,ann_url,ann_title,additions,deletions,renames
2022-06-17,2022-06-16,2022-06-01,https://www.moex.com/n48026,Новые базы расчета индексов Московской Биржи,,FEES,
2022-06-30,2022-06-29,2022-06-01,https://www.moex.com/n48026,Новые базы расчета индексов Московской Биржи,,POGR,
2022-09-16,2022-09-15,2022-08-31,https://www.moex.com/n51050,Новые базы расчета индексов Московской биржи,,HHRU,
2023-03-17,2023-03-16,2023-02-28,https://www.moex.com/n54823,Новые базы расчета индексов Московской биржи,AGRO,DSKY,
2023-06-16,2023-06-15,2023-05-30,https://www.moex.com/n56392,Новые базы расчета индексов Московской Биржи,FEES SGZH,,
2023-09-22,2023-09-21,2023-08-30,https://www.moex.com/n63504,Новые базы расчета индексов Московской Биржи,POSI QIWI SELG UPRO,FIXP,
2023-12-22,2023-12-21,2023-11-30,https://www.moex.com/n65737,Новые базы расчета индексов Московской биржи,FLOT MSNG MTLR MTLRP SMLT,,
2024-02-27,2024-02-26,2024-02-26,https://www.moex.com/n67843,Новые базы расчета индексов Московской Биржи,,QIWI,
2024-03-22,2024-03-21,2024-02-26,https://www.moex.com/n67843,Новые базы расчета индексов Московской Биржи,BSPB,POLY YNDX,
2024-06-21,2024-06-20,2024-05-30,https://www.moex.com/n69811,Новые базы расчета индексов Московской биржи,LEAS,,
2024-09-20,2024-09-19,2024-08-30,https://www.moex.com/n72393,Новые базы расчета индексов Московской Биржи,ASTR YDEX,SGZH,
2024-10-14,2024-10-13,2024-08-30,https://www.moex.com/n72393,Новые базы расчета индексов Московской Биржи,,GLTR,
2024-11-25,2024-11-24,,,,,FIVE,
2024-11-28,2024-11-27,,,,,,TCSG->T
2024-12-20,2024-12-19,2024-11-29,https://www.moex.com/n75298,Новые базы расчета индексов Московской Биржи,HEAD SVCB UGLD,OZON,
2025-03-21,2025-03-20,2025-02-28,https://www.moex.com/n78049,Новые базы расчета индексов Московской Биржи,MDMG RENI,LEAS MGNT MTLRP SMLT,
2025-06-20,2025-06-19,2025-05-29,https://www.moex.com/n90638,Новые базы расчета индексов Московской Биржи,,MTLR SELG,
2025-09-19,2025-09-18,2025-08-29,https://www.moex.com/n93170,Новые базы расчета индексов Московской Биржи,X5,ASTR FEES HYDR,
2025-12-19,2025-12-18,2025-11-27,https://www.moex.com/n95631,"Акции ДОМ.РФ, Озон и ЦИАН войдут в Индекс МосБиржи",CNRU DOMRF OZON,UPRO,
2026-03-20,2026-03-19,2026-02-27,https://www.moex.com/n97955,Московская биржа включит акции Ленты в Индекс МосБиржи,LENT,,
2026-06-19,2026-06-18,2026-05-29,https://www.moex.com/n100483,Об изменении баз расчета индексов акций,RAGR,PIKK,
